HoleID,depth,depth_end,min1,min2,min3
DH01,2.00,3.00,0.15,,110.00
DH01,3.00,4.00,0.03,,185.00
DH01,4.00,5.00,0.04,,77.00
DH01,5.00,6.00,0.02,,66.00
DH01,6.00,7.00,0.02,,146.00
DH01,7.00,8.00,0.04,,167.00
DH01,8.00,9.00,0.04,,138.00
DH01,9.00,10.00,0.03,,116.00
DH01,10.00,11.00,0.02,,143.00
DH01,11.00,12.00,0.02,,167.00
DH01,12.00,13.00,0.02,,177.00
DH01,13.00,14.00,0.01,,185.00
DH01,14.00,15.00,0.03,,192.00
DH01,15.00,16.00,0.03,,145.00
DH01,16.00,17.00,0.02,,171.00
DH01,17.00,18.00,0.02,,171.00
DH01,18.00,19.00,0.06,,112.00
DH01,19.00,20.00,0.02,,132.00
DH01,20.00,21.00,0.03,,106.00
DH01,21.00,22.00,0.03,,118.00
DH01,22.00,23.00,0.03,,151.00
DH01,23.00,24.00,0.11,,310.00
DH01,24.00,25.00,0.05,,92.00
DH01,25.00,26.00,0.03,,106.00
DH01,26.00,27.00,0.02,,151.00
DH01,27.00,28.00,0.03,,152.00
DH01,28.00,29.00,0.03,,163.00
DH01,29.00,30.00,0.02,,137.00
DH01,30.00,31.00,0.05,,105.00
DH01,31.00,32.00,0.08,,20.00
DH01,32.00,33.00,0.04,,143.00
DH01,33.00,34.00,0.04,,73.00
DH01,34.00,35.00,0.03,,99.00
DH01,35.00,36.00,0.02,,114.00
DH01,36.00,37.00,0.02,,132.00
DH01,37.00,38.00,0.04,,59.00
DH01,38.00,39.00,0.01,,103.00
DH01,39.00,40.00,0.02,,87.00
DH01,40.00,41.00,0.01,,92.00
DH01,41.00,42.00,0.01,,42.00
DH01,42.00,43.00,0.03,,74.00
DH01,43.00,44.00,0.03,,48.00
DH01,44.00,45.00,0.01,,27.00
DH01,45.00,46.00,0.02,,81.00
DH01,46.00,47.00,0.01,,56.00
DH01,47.00,48.00,0.02,,44.00
DH01,48.00,49.00,5.0e-03,,32.00
DH01,49.00,50.00,0.13,,49.00
DH01,50.00,51.00,0.11,,54.00
DH01,51.00,52.00,0.12,,53.00
DH01,52.00,53.00,0.08,,38.00
DH01,53.00,54.00,0.03,,10.00
DH01,54.00,55.00,0.04,,22.00
DH01,55.00,56.00,0.09,,20.00
DH01,56.00,57.00,0.07,,20.00
DH01,57.00,58.00,0.03,,23.00
DH01,58.00,59.00,0.12,,68.00
DH01,59.00,60.00,0.06,,71.00
DH01,60.00,61.00,0.02,,121.00
DH01,61.00,62.00,0.13,,54.00
DH01,62.00,63.00,0.03,,43.00
DH01,63.00,64.00,0.08,,41.00
DH01,64.00,65.00,0.01,,59.00
DH01,65.00,66.00,0.03,,39.00
DH01,66.00,67.00,0.02,,33.00
DH01,67.00,68.00,0.06,,17.00
DH01,68.00,69.00,0.03,,19.00
DH01,69.00,70.00,0.03,,17.00
DH01,70.00,71.00,0.03,,49.00
DH01,71.00,72.00,0.01,,17.00
DH01,72.00,73.00,0.02,,15.00
DH01,73.00,74.00,0.02,,70.00
DH01,74.00,75.00,0.03,,57.00
DH01,75.00,76.00,0.07,,84.00
DH01,76.00,77.00,0.12,,80.00
DH01,77.00,78.00,0.03,,198.00
DH01,78.00,79.00,0.04,,240.00
DH01,79.00,80.00,0.04,,172.00
DH01,80.00,81.00,0.03,,270.00
DH01,81.00,82.00,0.03,,260.00
DH01,82.00,83.00,0.02,,240.00
DH01,83.00,84.00,0.04,,610.00
DH01,84.00,85.00,0.02,,580.00
DH01,85.00,86.00,0.05,,240.00
DH01,86.00,87.00,0.01,,210.00
DH01,87.00,88.00,0.07,,159.00
DH01,88.00,89.00,0.01,,270.00
DH01,89.00,90.00,0.66,,270.00
DH01,90.00,91.00,0.41,,131.00
DH01,91.00,92.00,0.20,,182.00
DH01,92.00,93.00,0.07,,51.00
DH01,93.00,94.00,0.07,,43.00
DH01,94.00,95.00,0.09,,102.00
DH01,95.00,96.00,0.66,,450.00
DH01,96.00,97.00,0.32,,610.00
DH01,97.00,98.00,0.17,,310.00
DH01,98.00,99.00,0.13,,300.00
DH01,99.00,100.00,0.24,,730.00
DH01,100.00,101.00,0.30,,580.00
DH01,101.00,102.00,0.39,,540.00
DH01,102.00,103.00,0.17,,750.00
DH01,103.00,104.00,0.99,,23900.00
DH01,104.00,105.00,0.09,,1560.00
DH01,105.00,106.00,0.07,,1440.00
DH01,106.00,107.00,0.03,,960.00
DH01,107.00,108.00,0.08,,560.00
DH01,108.00,109.00,0.01,,990.00
DH01,109.00,110.00,0.04,,1150.00
DH01,110.00,111.00,0.08,,780.00
DH01,111.00,112.00,0.08,,1860.00
DH01,112.00,113.00,0.37,,9550.00
DH01,113.00,114.00,2.04,,7900.00
DH01,114.00,115.00,1.16,,8200.00
DH01,115.00,116.00,0.51,,3090.00
DH01,116.00,117.00,3.43,,3160.00
DH01,117.00,118.00,0.49,,4750.00
DH01,118.00,119.00,2.93,,3040.00
DH01,119.00,120.00,0.44,,2950.00
DH01,120.00,121.00,0.64,,2170.00
DH01,121.00,122.00,1.23,,16400.00
DH01,122.00,123.00,0.78,,10700.00
DH01,123.00,124.00,0.69,,4140.00
DH01,124.00,125.00,0.34,,1010.00
DH01,125.00,126.00,0.74,,5150.00
DH01,126.00,127.00,5.91,,43200.00
DH01,127.00,128.00,0.09,,1090.00
DH01,128.00,129.00,0.04,,500.00
DH01,129.00,130.00,0.07,,530.00
DH01,130.00,131.00,0.05,,520.00
DH01,131.00,132.00,0.05,,540.00
DH01,132.00,133.00,0.32,,2490.00
DH01,133.00,134.00,0.02,,500.00
DH01,134.00,135.00,0.02,,510.00
DH01,135.00,136.00,0.02,,260.00
DH01,136.00,137.00,0.01,,178.00
DH01,137.00,138.00,5.0e-03,,154.00
DH01,138.00,139.00,1.06,,6450.00
DH01,139.00,140.00,0.03,,210.00
DH01,140.00,141.00,0.02,,108.00
DH01,141.00,142.00,0.04,,220.00
DH01,142.00,143.00,0.02,,82.00
DH01,143.00,144.00,0.02,,220.00
