HoleID,depth,azimuth,dip
DH01,0.00,1.31,59.18
DH01,10.00,1.31,58.92
DH01,20.00,1.90,58.65
DH01,30.00,1.43,58.52
DH01,40.00,0.65,58.78
DH01,50.00,0.77,58.61
DH01,60.00,0.56,58.59
DH01,162.00,0.56,58.59
DH02,0.00,270.00,70.00
DH02,10.00,270.00,70.00
DH02,50.00,274.00,71.00
DH02,109.00,274.00,72.25
DH02,160.00,267.33,72.25
DH02,213.00,267.50,72.50
DH02,264.00,279.00,72.50
DH02,319.00,282.00,73.00
DH02,370.00,282.00,73.00
DH02,430.00,283.00,73.00
DH02,481.00,284.00,72.50
DH02,519.00,280.00,71.75
DH02,539.80,282.00,72.50
DH02,554.50,282.00,72.50
DH02,568.50,282.00,73.00
DH02,592.50,281.00,73.00
DH02,613.50,281.00,73.00
DH02,628.50,285.00,73.00
DH02,643.50,285.00,73.00
DH02,658.50,286.00,73.00
DH02,673.50,284.00,73.25
DH02,688.50,287.00,73.25
DH02,703.50,288.00,73.75
DH02,718.50,290.00,74.00
DH02,733.00,291.00,73.75
DH02,748.00,291.00,74.00
DH02,765.30,291.00,74.25
DH02,780.20,291.00,74.00
DH02,795.00,293.00,75.00
DH02,810.00,296.00,75.00
DH02,825.00,295.00,75.00
DH02,840.00,298.00,75.00
DH02,855.00,295.00,75.00
DH02,872.50,298.00,75.00
DH02,887.00,299.00,75.25
DH02,902.00,300.00,75.00
DH02,917.00,299.00,75.00
DH02,935.00,303.00,75.00
DH02,950.00,302.00,75.00
DH02,965.00,302.00,75.00
DH02,986.00,303.00,75.00
DH02,1001.00,302.00,74.75
DH02,1016.00,304.00,77.75
DH02,1030.00,302.00,76.25
DH02,1045.00,301.00,76.25
DH02,1064.00,304.00,76.00
DH02,1084.00,305.00,76.25
DH02,1102.80,301.00,75.00
DH03,0.00,270.00,75.00
DH03,30.00,267.00,75.00
DH03,60.00,267.00,74.50
DH03,90.00,267.00,75.00
DH03,120.00,266.00,74.00
DH03,150.00,264.00,74.50
DH03,180.20,264.00,74.50
